person_id,movie_id
2288083,6263462
2088803,1376709
4274963,1964895
617177,117600
504492,3599660
330249,208663
1281776,341555
842056,212719
618574,5589816
1936306,10087508
972531,1686042
95007,2162706
5072,1594479
1655252,1694510
945805,69517
1540,437250
1880386,2044064
197040,66411
866745,222798
904112,97650
508293,111543
739418,186511
26460,955381
1045934,9764654
255124,928377
401192,198664
4486,101753
651692,4227204
1540,2032452
536484,67550
343770,1996245
1411610,4508542
1972134,1877741
2896101,3584390
401638,4244998
708095,2326059
1127595,3599660
1127595,2326059
708095,3095356